Model type: 	Axon terminal
Parameter ID:	528
Pulse duration in ms:	3.1000
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	3.3058  V/m: 	 no AP.
Increasing amplitude: 	3.6050  V/m: 	 no AP.
Increasing amplitude: 	3.9313  V/m: 	 no AP.
Increasing amplitude: 	4.2871  V/m: 	 no AP.
Increasing amplitude: 	4.6751  V/m: 	 no AP.
Increasing amplitude: 	5.0982  V/m: 	 no AP.
Increasing amplitude: 	5.5597  V/m: 	 no AP.
Increasing amplitude: 	6.0629  V/m: 	 no AP.
Increasing amplitude: 	6.6116  V/m: 	 no AP.
Increasing amplitude: 	7.2100  V/m: 	 no AP.
Increasing amplitude: 	7.8626  V/m: 	 no AP.
Increasing amplitude: 	8.5742  V/m: 	 no AP.
Increasing amplitude: 	9.3502  V/m: 	 no AP.
Increasing amplitude: 	10.1965  V/m: 	 no AP.
Increasing amplitude: 	11.1194  V/m: 	 no AP.
Increasing amplitude: 	12.1257  V/m: 	 no AP.
Increasing amplitude: 	13.2232  V/m: 	 no AP.
Increasing amplitude: 	14.4200  V/m: 	 no AP.
Increasing amplitude: 	15.7251  V/m: 	 no AP.
Increasing amplitude: 	17.1484  V/m: 	 no AP.
Increasing amplitude: 	18.7005  V/m: 	 no AP.
Increasing amplitude: 	20.3930  V/m: 	 no AP.
Increasing amplitude: 	22.2387  V/m: 	 no AP.
Increasing amplitude: 	24.2515  V/m: 	 no AP.
Increasing amplitude: 	26.4464  V/m: 	 no AP.
Increasing amplitude: 	28.8400  V/m: 	 no AP.
Increasing amplitude: 	31.4503  V/m: 	 no AP.
Increasing amplitude: 	34.2968  V/m: 	 no AP.
Increasing amplitude: 	37.4009  V/m: 	 no AP.
Increasing amplitude: 	40.7860  V/m: 	 no AP.
Increasing amplitude: 	44.4774  V/m: 	 no AP.
Increasing amplitude: 	48.5030  V/m: 	 no AP.
Increasing amplitude: 	52.8929  V/m: 	 no AP.
Increasing amplitude: 	57.6801  V/m: 	 no AP.
Increasing amplitude: 	62.9006  V/m: 	 no AP.
Increasing amplitude: 	68.5936  V/m: 	 no AP.
Increasing amplitude: 	74.8018  V/m: 	 no AP.
Increasing amplitude: 	81.5720  V/m: 	 no AP.
Increasing amplitude: 	88.9549  V/m: 	 no AP.
Increasing amplitude: 	97.0060  V/m: 	 no AP.
Increasing amplitude: 	0.1058 kV/m: 	 no AP.
Increasing amplitude: 	0.1154 kV/m: 	 no AP.
Increasing amplitude: 	0.1258 kV/m: 	 no AP.
Increasing amplitude: 	0.1372 kV/m: 	 no AP.
Increasing amplitude: 	0.1496 kV/m: 	 no AP.
Increasing amplitude: 	0.1631 kV/m: 	 no AP.
Increasing amplitude: 	0.1779 kV/m: 	 no AP.
Increasing amplitude: 	0.1940 kV/m: 	 no AP.
Increasing amplitude: 	0.2116 kV/m: 	 no AP.
Increasing amplitude: 	0.2307 kV/m: 	 no AP.
Increasing amplitude: 	0.2516 kV/m: 	 no AP.
Increasing amplitude: 	0.2744 kV/m: 	 no AP.
Increasing amplitude: 	0.2992 kV/m: 	 no AP.
Increasing amplitude: 	0.3263 kV/m: 	 no AP.
Increasing amplitude: 	0.3558 kV/m: 	 no AP.
Increasing amplitude: 	0.3880 kV/m: 	 no AP.
Increasing amplitude: 	0.4231 kV/m: 	 no AP.
Increasing amplitude: 	0.4614 kV/m: 	 no AP.
Increasing amplitude: 	0.5032 kV/m: 	 no AP.
Increasing amplitude: 	0.5487 kV/m: 	 no AP.
Increasing amplitude: 	0.5984 kV/m: 	 no AP.
Increasing amplitude: 	0.6526 kV/m: 	 no AP.
Increasing amplitude: 	0.7116 kV/m: 	 no AP.
Increasing amplitude: 	0.7760 kV/m: 	 no AP.
Increasing amplitude: 	0.8463 kV/m: 	 no AP.
Increasing amplitude: 	0.9229 kV/m: 	 no AP.
Increasing amplitude: 	1.0064 kV/m: 	 no AP.
Increasing amplitude: 	1.0975 kV/m: 	 no AP.
Increasing amplitude: 	1.1968 kV/m: 	 no AP.
Increasing amplitude: 	1.3052 kV/m: 	 no AP.
Increasing amplitude: 	1.4233 kV/m: 	 no AP.
Increasing amplitude: 	1.5521 kV/m: 	 no AP.
Increasing amplitude: 	1.6926 kV/m: 	 no AP.
Increasing amplitude: 	1.8458 kV/m: 	 no AP.
Increasing amplitude: 	2.0128 kV/m: 	 no AP.
Increasing amplitude: 	2.1950 kV/m: 	 no AP.
Increasing amplitude: 	2.3937 kV/m: 	 no AP.
Increasing amplitude: 	2.6103 kV/m: 	 no AP.
Increasing amplitude: 	2.8466 kV/m: 	 no AP.
Increasing amplitude: 	3.1042 kV/m: 	 no AP.
Increasing amplitude: 	3.3851 kV/m: 	 no AP.
Increasing amplitude: 	3.6915 kV/m: 	 no AP.
Increasing amplitude: 	4.0256 kV/m: 	 no AP.
Increasing amplitude: 	4.3900 kV/m: 	 no AP.
Increasing amplitude: 	4.7873 kV/m: 	 no AP.
Increasing amplitude: 	5.2206 kV/m: 	 no AP.
Increasing amplitude: 	5.6931 kV/m: 	 no AP.
Increasing amplitude: 	6.2084 kV/m: 	 no AP.
Increasing amplitude: 	6.7703 kV/m: 	 no AP.
Increasing amplitude: 	7.3831 kV/m: 	 no AP.
Increasing amplitude: 	8.0513 kV/m: 	 no AP.
Increasing amplitude: 	8.7800 kV/m: 	 no AP.
Increasing amplitude: 	9.5746 kV/m: 	 no AP.
Increasing amplitude: 	10.4412 kV/m: 	 no AP.
Increasing amplitude: 	11.3862 kV/m: 	 no AP.
Increasing amplitude: 	12.4168 kV/m: 	 no AP.
Increasing amplitude: 	13.5406 kV/m: 	 no AP.
Increasing amplitude: 	14.7661 kV/m: 	 no AP.
Increasing amplitude: 	16.1026 kV/m: 	 no AP.
Increasing amplitude: 	17.5600 kV/m: 	 no AP.
Increasing amplitude: 	19.1493 kV/m: 	 no AP.
Increasing amplitude: 	20.8824 kV/m: 	 no AP.
Increasing amplitude: 	22.7724 kV/m: 	 no AP.
Increasing amplitude: 	24.8335 kV/m: 	 no AP.
Increasing amplitude: 	27.0812 kV/m: 	 no AP.
Increasing amplitude: 	29.5322 kV/m: 	 no AP.
Increasing amplitude: 	32.2051 kV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 3.59 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	3.3058  V/m: 	 no AP.
Increasing amplitude: 	3.6050  V/m: 	 no AP.
Increasing amplitude: 	3.9313  V/m: 	 no AP.
Increasing amplitude: 	4.2871  V/m: 	 no AP.
Increasing amplitude: 	4.6751  V/m: 	 no AP.
Increasing amplitude: 	5.0982  V/m: 	 no AP.
Increasing amplitude: 	5.5597  V/m: 	 no AP.
Increasing amplitude: 	6.0629  V/m: 	 no AP.
Increasing amplitude: 	6.6116  V/m: 	 no AP.
Increasing amplitude: 	7.2100  V/m: 	 no AP.
Increasing amplitude: 	7.8626  V/m: 	 no AP.
Increasing amplitude: 	8.5742  V/m: 	 no AP.
Increasing amplitude: 	9.3502  V/m: 	 no AP.
Increasing amplitude: 	10.1965  V/m: 	 no AP.
Increasing amplitude: 	11.1194  V/m: 	 no AP.
Increasing amplitude: 	12.1257  V/m: 	 no AP.
Increasing amplitude: 	13.2232  V/m: 	 no AP.
Increasing amplitude: 	14.4200  V/m: 	 no AP.
Increasing amplitude: 	15.7251  V/m: 	 no AP.
Increasing amplitude: 	17.1484  V/m: 	 no AP.
Increasing amplitude: 	18.7005  V/m: 	 no AP.
Increasing amplitude: 	20.3930  V/m: 	 no AP.
Increasing amplitude: 	22.2387  V/m: 	 no AP.
Increasing amplitude: 	24.2515  V/m: 	 no AP.
Increasing amplitude: 	26.4464  V/m: 	 no AP.
Increasing amplitude: 	28.8400  V/m: 	 no AP.
Increasing amplitude: 	31.4503  V/m: 	 no AP.
Increasing amplitude: 	34.2968  V/m: 	 no AP.
Increasing amplitude: 	37.4009  V/m: 	 no AP.
Increasing amplitude: 	40.7860  V/m: 	 no AP.
Increasing amplitude: 	44.4774  V/m: 	 no AP.
Increasing amplitude: 	48.5030  V/m: 	 no AP.
Increasing amplitude: 	52.8929  V/m: 	 no AP.
Increasing amplitude: 	57.6801  V/m: 	 no AP.
Increasing amplitude: 	62.9006  V/m: 	 no AP.
Increasing amplitude: 	68.5936  V/m: 	 no AP.
Increasing amplitude: 	74.8018  V/m: 	 no AP.
Increasing amplitude: 	81.5720  V/m: 	 no AP.
Increasing amplitude: 	88.9549  V/m: 	 no AP.
Increasing amplitude: 	97.0060  V/m: 	 no AP.
Increasing amplitude: 	0.1058 kV/m: 	 no AP.
Increasing amplitude: 	0.1154 kV/m: 	 no AP.
Increasing amplitude: 	0.1258 kV/m: 	 no AP.
Increasing amplitude: 	0.1372 kV/m: 	 no AP.
Increasing amplitude: 	0.1496 kV/m: 	 no AP.
Increasing amplitude: 	0.1631 kV/m: 	 no AP.
Increasing amplitude: 	0.1779 kV/m: 	 no AP.
Increasing amplitude: 	0.1940 kV/m: 	 no AP.
Increasing amplitude: 	0.2116 kV/m: 	 no AP.
Increasing amplitude: 	0.2307 kV/m: 	 no AP.
Increasing amplitude: 	0.2516 kV/m: 	 no AP.
Increasing amplitude: 	0.2744 kV/m: 	 no AP.
Increasing amplitude: 	0.2992 kV/m: 	 no AP.
Increasing amplitude: 	0.3263 kV/m: 	 no AP.
Increasing amplitude: 	0.3558 kV/m: 	 no AP.
Increasing amplitude: 	0.3880 kV/m: 	 no AP.
Increasing amplitude: 	0.4231 kV/m: 	 no AP.
Increasing amplitude: 	0.4614 kV/m: 	 no AP.
Increasing amplitude: 	0.5032 kV/m: 	 no AP.
Increasing amplitude: 	0.5487 kV/m: 	 no AP.
Increasing amplitude: 	0.5984 kV/m: 	 no AP.
Increasing amplitude: 	0.6526 kV/m: 	 no AP.
Increasing amplitude: 	0.7116 kV/m: 	 no AP.
Increasing amplitude: 	0.7760 kV/m: 	 no AP.
Increasing amplitude: 	0.8463 kV/m: 	 no AP.
Increasing amplitude: 	0.9229 kV/m: 	 no AP.
Increasing amplitude: 	1.0064 kV/m: 	 no AP.
Increasing amplitude: 	1.0975 kV/m: 	 no AP.
Increasing amplitude: 	1.1968 kV/m: 	 no AP.
Increasing amplitude: 	1.3052 kV/m: 	 no AP.
Increasing amplitude: 	1.4233 kV/m: 	 no AP.
Increasing amplitude: 	1.5521 kV/m: 	 no AP.
Increasing amplitude: 	1.6926 kV/m: 	 no AP.
Increasing amplitude: 	1.8458 kV/m: 	 no AP.
Increasing amplitude: 	2.0128 kV/m: 	 no AP.
Increasing amplitude: 	2.1950 kV/m: 	 no AP.
Increasing amplitude: 	2.3937 kV/m: 	 no AP.
Increasing amplitude: 	2.6103 kV/m: 	 no AP.
Increasing amplitude: 	2.8466 kV/m: 	 AP.
Lower bound: 2.6103 kV/m.   Upper bound: 2.8466 kV/m.   Search amplitude: 2.7259 kV/m: no AP.
Lower bound: 2.7259 kV/m.   Upper bound: 2.8466 kV/m.   Search amplitude: 2.7856 kV/m: no AP.
Lower bound: 2.7856 kV/m.   Upper bound: 2.8466 kV/m.   Search amplitude: 2.8159 kV/m: AP.
Lower bound: 2.7856 kV/m.   Upper bound: 2.8159 kV/m.   Search amplitude: 2.8007 kV/m: no AP.
Lower bound: 2.8007 kV/m.   Upper bound: 2.8159 kV/m.   Search amplitude: 2.8083 kV/m: no AP.
Binary search ended. Threshold: 2.8083 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 5.74 min.
 
-----------------------------------------------------------
Total run time: 9.328 min.
Results saved in UF_TrmB_RMG/Results/result_528.mat.
